,Notes,UCD - ICD Chapter,UCD - ICD Chapter Code,Race,Race Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Year,Year Code,Deaths,Population
2486,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,65-74 years,65-74,2006.0,2006.0,403.0,446126,90.3
2487,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,65-74 years,65-74,2007.0,2007.0,390.0,452497,86.2
2488,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,65-74 years,65-74,2008.0,2008.0,372.0,467786,79.5
2489,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,65-74 years,65-74,2009.0,2009.0,395.0,478775,82.5
2490,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,65-74 years,65-74,2010.0,2010.0,409.0,485888,84.2
2491,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,65-74 years,65-74,2011.0,2011.0,454.0,498906,91.0
2492,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,65-74 years,65-74,2012.0,2012.0,419.0,532657,78.7
2493,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,65-74 years,65-74,2013.0,2013.0,469.0,556922,84.2
2494,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,65-74 years,65-74,2014.0,2014.0,519.0,576093,90.1
2495,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,65-74 years,65-74,2015.0,2015.0,514.0,595791,86.3
2496,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,65-74 years,65-74,2016.0,2016.0,534.0,615143,86.8
2497,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,65-74 years,65-74,2017.0,2017.0,572.0,640060,89.4
2498,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,1999.0,1999.0,555.0,286746,193.6
2499,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2000.0,2000.0,522.0,288613,180.9
2500,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2001.0,2001.0,525.0,295084,177.9
2501,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2002.0,2002.0,558.0,300425,185.7
2502,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2003.0,2003.0,626.0,303622,206.2
2503,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2004.0,2004.0,556.0,306304,181.5
2504,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2005.0,2005.0,606.0,306911,197.5
2505,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2006.0,2006.0,573.0,305026,187.9
2506,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2007.0,2007.0,523.0,303880,172.1
2507,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2008.0,2008.0,514.0,300678,170.9
2508,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2009.0,2009.0,545.0,297507,183.2
2509,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2010.0,2010.0,501.0,296326,169.1
2510,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2011.0,2011.0,535.0,293751,182.1
2511,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2012.0,2012.0,548.0,292756,187.2
2512,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2013.0,2013.0,550.0,292101,188.3
2513,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2014.0,2014.0,548.0,291387,188.1
2514,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2015.0,2015.0,530.0,290982,182.1
2515,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2016.0,2016.0,527.0,293365,179.6
2516,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,75-84 years,75-84,2017.0,2017.0,592.0,305663,193.7
2517,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,1999.0,1999.0,276.0,75975,363.3
2518,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2000.0,2000.0,347.0,77790,446.1
2519,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2001.0,2001.0,311.0,79852,389.5
2520,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2002.0,2002.0,326.0,81772,398.7
2521,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2003.0,2003.0,355.0,84353,420.9
2522,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2004.0,2004.0,319.0,86316,369.6
2523,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2005.0,2005.0,370.0,90089,410.7
2524,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2006.0,2006.0,324.0,93880,345.1
2525,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2007.0,2007.0,359.0,97531,368.1
2526,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2008.0,2008.0,396.0,101267,391.0
2527,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2009.0,2009.0,412.0,104602,393.9
2528,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2010.0,2010.0,386.0,107149,360.2
2529,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2011.0,2011.0,471.0,112181,419.9
2530,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2012.0,2012.0,499.0,115496,432.0
2531,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2013.0,2013.0,472.0,119159,396.1
2532,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2014.0,2014.0,479.0,120675,396.9
2533,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2015.0,2015.0,541.0,122439,441.9
2534,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2016.0,2016.0,535.0,123969,431.6
2535,"Endocrine, nutritional and metabolic diseases",E00-E88,White,2106-3,Male,M,85+ years,85+,2017.0,2017.0,538.0,128464,418.8
2536,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2011.0,2011.0,12.0,24148,Unreliable
2537,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2012.0,2012.0,14.0,25777,Unreliable
2538,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2013.0,2013.0,19.0,27387,Unreliable
2539,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2014.0,2014.0,17.0,29267,Unreliable
2540,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2015.0,2015.0,23.0,31103,73.9
2541,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2016.0,2016.0,15.0,32364,Unreliable
2542,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2017.0,2017.0,24.0,35614,67.4
2543,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2007.0,2007.0,19.0,6346,Unreliable
2544,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2008.0,2008.0,17.0,6763,Unreliable
2545,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2009.0,2009.0,18.0,7192,Unreliable
2546,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2010.0,2010.0,26.0,7550,344.4
2547,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2011.0,2011.0,27.0,8489,318.1
2548,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2012.0,2012.0,50.0,9318,536.6
2549,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2013.0,2013.0,63.0,10305,611.4
2550,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2014.0,2014.0,64.0,11089,577.1
2551,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2015.0,2015.0,75.0,12198,614.9
2552,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2016.0,2016.0,62.0,13049,475.1
2553,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2017.0,2017.0,82.0,14833,552.8
2554,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,45-54 years,45-54,2006.0,2006.0,10.0,98052,Unreliable
2555,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2012.0,2012.0,10.0,20482,Unreliable
2556,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2013.0,2013.0,17.0,22062,Unreliable
2557,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2014.0,2014.0,12.0,23734,Unreliable
2558,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2015.0,2015.0,17.0,25538,Unreliable
2559,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2016.0,2016.0,21.0,26574,79.0
2560,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2017.0,2017.0,14.0,28950,Unreliable
2561,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2010.0,2010.0,15.0,4627,Unreliable
2562,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2011.0,2011.0,13.0,5079,Unreliable
2563,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2012.0,2012.0,26.0,5528,470.3
2564,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2013.0,2013.0,24.0,6181,388.3
2565,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2014.0,2014.0,32.0,6760,473.4
2566,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2015.0,2015.0,32.0,7464,428.7
2567,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2016.0,2016.0,31.0,8034,385.9
2568,Mental and behavioural disorders,F01-F99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2017.0,2017.0,35.0,9303,376.2
2569,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,35-44 years,35-44,2000.0,2000.0,11.0,299408,Unreliable
2570,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,35-44 years,35-44,2001.0,2001.0,15.0,303246,Unreliable
2571,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,35-44 years,35-44,2002.0,2002.0,19.0,302101,Unreliable
2572,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,35-44 years,35-44,2003.0,2003.0,14.0,300353,Unreliable
2573,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,35-44 years,35-44,2004.0,2004.0,13.0,296329,Unreliable
2574,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,35-44 years,35-44,2006.0,2006.0,14.0,287171,Unreliable
2575,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,35-44 years,35-44,2008.0,2008.0,11.0,273206,Unreliable
2576,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,35-44 years,35-44,2009.0,2009.0,12.0,265883,Unreliable
2577,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,1999.0,1999.0,20.0,219892,9.1
2578,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2000.0,2000.0,14.0,224544,Unreliable
2579,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2001.0,2001.0,27.0,233053,11.6
2580,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2002.0,2002.0,17.0,238262,Unreliable
2581,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2003.0,2003.0,16.0,243359,Unreliable
2582,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2004.0,2004.0,17.0,248317,Unreliable
2583,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2005.0,2005.0,19.0,252836,Unreliable
2584,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2006.0,2006.0,21.0,257601,8.2
2585,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2007.0,2007.0,17.0,261804,Unreliable
2586,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2008.0,2008.0,10.0,267318,Unreliable
2587,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2009.0,2009.0,18.0,273098,Unreliable
2588,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2010.0,2010.0,17.0,276561,Unreliable
2589,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2011.0,2011.0,18.0,277934,Unreliable
2590,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2012.0,2012.0,11.0,277308,Unreliable
2591,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2013.0,2013.0,13.0,277141,Unreliable
2592,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2014.0,2014.0,12.0,276522,Unreliable
2593,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2015.0,2015.0,17.0,274112,Unreliable
2594,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,45-54 years,45-54,2017.0,2017.0,16.0,266161,Unreliable
2595,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,55-64 years,55-64,2002.0,2002.0,18.0,163961,Unreliable
2596,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,55-64 years,55-64,2003.0,2003.0,14.0,168009,Unreliable
2597,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,55-64 years,55-64,2004.0,2004.0,12.0,172724,Unreliable
2598,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,55-64 years,55-64,2005.0,2005.0,10.0,177586,Unreliable
2599,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,55-64 years,55-64,2007.0,2007.0,11.0,185106,Unreliable
2600,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,55-64 years,55-64,2010.0,2010.0,15.0,198843,Unreliable
2601,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,55-64 years,55-64,2011.0,2011.0,10.0,207528,Unreliable
2602,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,55-64 years,55-64,2012.0,2012.0,15.0,213550,Unreliable
2603,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,55-64 years,55-64,2013.0,2013.0,11.0,218859,Unreliable
2604,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,55-64 years,55-64,2014.0,2014.0,26.0,225352,11.5
2605,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,55-64 years,55-64,2015.0,2015.0,18.0,231348,Unreliable
2606,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,55-64 years,55-64,2016.0,2016.0,16.0,236124,Unreliable
2607,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,55-64 years,55-64,2017.0,2017.0,20.0,242248,8.3
2608,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,65-74 years,65-74,2000.0,2000.0,11.0,100951,Unreliable
2609,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,65-74 years,65-74,2004.0,2004.0,12.0,108910,Unreliable
2610,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,65-74 years,65-74,2007.0,2007.0,17.0,114104,Unreliable
2611,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,65-74 years,65-74,2008.0,2008.0,15.0,117559,Unreliable
2612,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,65-74 years,65-74,2009.0,2009.0,12.0,120840,Unreliable
2613,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,65-74 years,65-74,2010.0,2010.0,20.0,122924,16.3
2614,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,65-74 years,65-74,2011.0,2011.0,28.0,126305,22.2
2615,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,65-74 years,65-74,2012.0,2012.0,28.0,130983,21.4
2616,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,65-74 years,65-74,2013.0,2013.0,25.0,135277,18.5
2617,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,65-74 years,65-74,2014.0,2014.0,28.0,140547,19.9
2618,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,65-74 years,65-74,2015.0,2015.0,37.0,145462,25.4
2619,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,65-74 years,65-74,2016.0,2016.0,24.0,149342,16.1
2620,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,65-74 years,65-74,2017.0,2017.0,24.0,155077,15.5
2621,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,1999.0,1999.0,15.0,56852,Unreliable
2622,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2000.0,2000.0,16.0,58516,Unreliable
2623,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2001.0,2001.0,13.0,61006,Unreliable
2624,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2002.0,2002.0,16.0,62742,Unreliable
2625,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2003.0,2003.0,20.0,64048,31.2
2626,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2004.0,2004.0,26.0,64986,40.0
2627,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2005.0,2005.0,28.0,65766,42.6
2628,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2006.0,2006.0,34.0,66043,51.5
2629,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2007.0,2007.0,48.0,66359,72.3
2630,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2008.0,2008.0,52.0,66363,78.4
2631,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2009.0,2009.0,69.0,66785,103.3
2632,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2010.0,2010.0,67.0,67710,99.0
2633,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2011.0,2011.0,82.0,69488,118.0
2634,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2012.0,2012.0,91.0,70623,128.9
2635,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2013.0,2013.0,92.0,73025,126.0
2636,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2014.0,2014.0,101.0,74991,134.7
2637,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2015.0,2015.0,97.0,77221,125.6
2638,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2016.0,2016.0,98.0,79502,123.3
2639,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,75-84 years,75-84,2017.0,2017.0,99.0,83964,117.9
2640,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,1999.0,1999.0,21.0,20424,102.8
2641,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2000.0,2000.0,30.0,21190,141.6
2642,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2001.0,2001.0,35.0,21596,162.1
2643,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2002.0,2002.0,56.0,21899,255.7
2644,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2003.0,2003.0,45.0,22461,200.3
2645,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2004.0,2004.0,54.0,22920,235.6
2646,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2005.0,2005.0,59.0,23930,246.6
2647,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2006.0,2006.0,87.0,24802,350.8
2648,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2007.0,2007.0,103.0,25882,398.0
2649,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2008.0,2008.0,113.0,26841,421.0
2650,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2009.0,2009.0,137.0,28103,487.5
2651,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2010.0,2010.0,182.0,28947,628.7
2652,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2011.0,2011.0,231.0,30165,765.8
2653,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2012.0,2012.0,287.0,31760,903.7
2654,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2013.0,2013.0,347.0,33134,1047.3
2655,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2014.0,2014.0,317.0,34301,924.2
2656,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2015.0,2015.0,308.0,35178,875.5
2657,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2016.0,2016.0,278.0,36407,763.6
2658,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Female,F,85+ years,85+,2017.0,2017.0,257.0,38830,661.9
2659,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,35-44 years,35-44,1999.0,1999.0,31.0,247269,12.5
2660,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,35-44 years,35-44,2000.0,2000.0,25.0,249795,10.0
2661,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,35-44 years,35-44,2001.0,2001.0,29.0,252098,11.5
2662,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,35-44 years,35-44,2002.0,2002.0,34.0,250284,13.6
2663,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,35-44 years,35-44,2003.0,2003.0,23.0,248334,9.3
2664,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,35-44 years,35-44,2004.0,2004.0,16.0,244991,Unreliable
2665,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,35-44 years,35-44,2005.0,2005.0,14.0,240398,Unreliable
2666,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,35-44 years,35-44,2006.0,2006.0,17.0,236953,Unreliable
2667,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,35-44 years,35-44,2007.0,2007.0,14.0,230533,Unreliable
2668,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,35-44 years,35-44,2008.0,2008.0,13.0,225445,Unreliable
2669,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,35-44 years,35-44,2009.0,2009.0,12.0,219419,Unreliable
2670,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,35-44 years,35-44,2010.0,2010.0,14.0,215961,Unreliable
2671,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,35-44 years,35-44,2013.0,2013.0,12.0,211767,Unreliable
2672,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,35-44 years,35-44,2014.0,2014.0,11.0,213132,Unreliable
2673,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,45-54 years,45-54,1999.0,1999.0,44.0,172067,25.6
2674,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,45-54 years,45-54,2000.0,2000.0,51.0,176676,28.9
2675,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,45-54 years,45-54,2001.0,2001.0,54.0,185220,29.2
2676,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,45-54 years,45-54,2002.0,2002.0,54.0,190625,28.3
2677,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,45-54 years,45-54,2003.0,2003.0,50.0,196177,25.5
2678,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,45-54 years,45-54,2004.0,2004.0,37.0,201153,18.4
2679,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,45-54 years,45-54,2005.0,2005.0,47.0,206066,22.8
2680,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,45-54 years,45-54,2006.0,2006.0,49.0,209952,23.3
2681,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,45-54 years,45-54,2007.0,2007.0,43.0,214568,20.0
2682,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,45-54 years,45-54,2008.0,2008.0,30.0,219525,13.7
2683,Mental and behavioural disorders,F01-F99,Black or African American,2054-5,Male,M,45-54 years,45-54,2009.0,2009.0,32.0,224898,14.2
